team,stadium,city,state,conference,capacity,built,expanded,div,latitude,longitude,logo
Louisville,Papa John's Cardinal Stadium,Louisville,KY,ACC,55000,1998,2009,fbs,38.20542168521144,-85.7581056156681,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\louisville.png"""
Marshall,Joan C. Edwards Stadium,Huntington,WV,C-USA,38019,1991,2000,fbs,38.42486536179161,-82.42185831069945,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\marshall.png"""
Maryland,Byrd Stadium,College Park,MD,Big Ten,51802,1950,2009,fbs,38.991202751444256,-76.94731173248788,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\maryland.png"""
Memphis,Liberty Bowl Memorial Stadium,Memphis,TN,American,62380,1965,1987,fbs,35.120856917268995,-89.97805741128387,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\memphis.png"""
Miami,Sun Life Stadium,Miami Gardens,FL,ACC,65326,1987,2016,fbs,25.957933739028963,-80.23884057998656,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\miami.png"""
Miami (OH),Yager Stadium,Oxford,OH,MAC,24286,1983,2005,fbs,39.51942113142349,-84.73335450140017,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\miamiOH.png"""
Michigan,Michigan Stadium,Ann Arbor,MI,Big Ten,107601,1927,2015,fbs,42.26586873251738,-83.7487256526947,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\michigan.png"""
Michigan State,Spartan Stadium,East Lansing,MI,Big Ten,75005,1923,2005,fbs,42.7281691163326,-84.48487535119057,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\michiganState.png"""
Middle Tennessee,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,C-USA,31000,1933,1998,fbs,35.851109080540866,-86.36844992637634,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\middleTennessee.png"""
Minnesota,TCF Bank Stadium,Minneapolis,MN,Big Ten,52525,2009,,fbs,44.97652496911191,-93.22457581758499,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\minnesota.png"""
Mississippi,Vaught–Hemingway Stadium,Oxford,MS,SEC,60580,1915,2002,fbs,34.362154302992906,-89.53414626020904,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\oleMiss.png"""
Mississippi State,Davis Wade Stadium,Starkville,MS,SEC,61337,1914,2014,fbs,33.456230599072065,-88.79342436790466,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\mississippiState.png"""
Missouri,Faurot Field,Columbia,MO,SEC,71168,1927,1997,fbs,38.93589529672232,-92.33311414718628,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\missouri.png"""
NC State,Carter–Finley Stadium,Raleigh,NC,ACC,57583,1966,2006,fbs,35.80075968207897,-78.71948719024658,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\ncState.png"""
NIU,Huskie Stadium,DeKalb,IL,MAC,25500,1965,1995,fbs,41.934014000000005,-88.778222,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\northernIllinois.png"""
Navy,Navy–Marine Corps Memorial Stadium,Annapolis,MD,American,34000,1959,2005,fbs,38.98483263543365,-76.5071153640747,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\navy.png"""
Nebraska,Memorial Stadium,Lincoln,NE,Big Ten,87091,1923,2013,fbs,40.82048352329493,-96.70571565628052,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\nebraska.png"""
Nevada,Mackay Stadium,Reno,NV,Mountain West,30000,1966,2016,fbs,39.54692485017159,-119.81755971908571,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\nevada.png"""
New Mexico,University Stadium,Albuquerque,NM,Mountain West,39224,1960,2007,fbs,35.06761048267165,-106.6281028358157,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\newMexico.png"""
New Mexico State,Aggie Memorial Stadium,Las Cruces,NM,Sun Belt,30343,1978,2005,fbs,32.27974938226407,-106.74113631248474,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\newMexicoState.png"""
North Carolina,Kenan Memorial Stadium,Chapel Hill,NC,ACC,62980,1927,2011,fbs,35.90698834747853,-79.04791831970216,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\northCarolina.png"""
North Texas,Apogee Stadium,Denton,TX,C-USA,30850,2011,,fbs,33.20393508408917,-97.15922355651855,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\northTexas.png"""
Northwestern,Ryan Field,Evanston,IL,Big Ten,47130,1926,1997,fbs,42.06539966752991,-87.69249558448792,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\northwestern.png"""
Notre Dame,Notre Dame Stadium,Notre Dame,IN,Independent,80795,1930,1997,fbs,41.69842312158612,-86.23382449150084,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\notreDame.png"""
Ohio,Peden Stadium,Athens,OH,MAC,24000,1929,2001,fbs,39.32130908459409,-82.10343944652357,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\ohio.png"""
Ohio State,Ohio Stadium,Columbus,OH,Big Ten,104944,1922,2014,fbs,40.001685689369396,-83.01972806453705,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\ohioState.png"""
